# Reconciler skip-list — tools the daily reconciler should NOT keep retrying.
# Two tiers (DESIGN.md D15):
#   wontfix  — genuine dead-end; never retry (only a human edit removes it).
#   stuck    — gap with a real chance of an upstream fix; skip the DAILY run but
#              re-check every <revisit_days> in case upstream re-enabled arm64.
#
# Columns (tab-separated):  package  tier  revisit_days  reason
# (revisit_days is ignored for wontfix; use 0.)
#
# Edit this file to add/remove entries. The reconciler reads it each run.

# --- wontfix: tools pinning abandoned deps with no arm64 anywhere ---
deeparg	wontfix	0	pins lasagne (dead Theano-era DL lib); no arm64 anywhere; already at latest 1.0.4
deepbgc	wontfix	0	pins keras=2.2.4 (2018, pre-merger); no arm64; already at latest 0.1.31
p7zip	wontfix	0	bioconda's latest_version is 15.09 (no arm64) but we already publish the NEWER 16.02 on arm64; chasing 15.09 fails daily for zero gain
ale	wontfix	0	bioconda ALE (Assembly Likelihood Evaluator) is py2-only (skip: true # [py3k]) and needs pymix, a dead Py2 lib with linux-64/osx-64 only; final release 2018 so no bump can help. NOT conda-forge's `ale` (planetary ephemerides), which is a different project entirely
msisensor2	wontfix	0	recipe source is a PREBUILT x86_64 binary (.../raw/master/msisensor2) with skip: True # [not linux and x86_64]; no source to compile, so no recipe change can yield arm64 — only the tool authors can

# --- stuck: filed upstream 2026-09-03, awaiting a maintainer decision (UPSTREAM.md) ---
# These are pin-relaxation / dropped-noarch asks. Each fails the daily solve and
# would otherwise re-comment on its tracking issue every day while upstream thinks;
# the monthly revisit picks up a fix within 30 days. Check sooner any time with
# `audit/upstream-status.sh`, which re-solves each one.
gtdbtk	stuck	30	pins pplacer =1.1.alpha19, the one recent pplacer without linux-aarch64 (alpha20/alpha22 have it). gtdbtk is noarch, so this pin is the only blocker. Filed: bioconda/bioconda-recipes#68792 (joint with comebin); maintainers @aaronmussig @pchaumeil. Asked as a QUESTION — an exact pplacer pin may be required for placement reproducibility
comebin	stuck	30	same pplacer =1.1.alpha19 pin as gtdbtk; its bedtools pin was already relaxed to >=2.31,<3 upstream and pytorch >=2.13,<2.14 is fine (2.13.0 has aarch64), so pplacer is the sole remaining blocker. Filed: bioconda/bioconda-recipes#68792; no recipe-maintainers listed
pycoqc	stuck	30	pins h5py=2.9.0 (linux-64/osx-64/win-64 only; arm64 from 2.10.0). Its numpy=1.17.1 and pandas=0.25.1 pins DO have arm64, so h5py is the sole blocker. Filed: bioconda/bioconda-recipes#68793; maintainer @aslide
tiara	stuck	30	CONDA-FORGE package, not bioconda (no recipes/tiara exists). noarch: python pinning pytorch >=1.7.0,<1.8.dev0, a 2020 bound that excludes every arm64 pytorch (arm64 starts at 1.12.0). Filed: conda-forge/tiara-feedstock#2
gatk4-spark	stuck	30	arm64 REGRESSION: noarch through 4.6.2.0, per-arch from 4.7.0.0. Cause is a dropped noarch, not a missing platform — recipes/gatk4 still sets noarch: generic at top level but conda-build does not propagate that into outputs:, so gatk4-main/gatk4-spark build per-arch. Both outputs only copy jars, so per-output noarch: generic is the fix. Filed: bioconda/bioconda-recipes#68791. We publish 4.6.2.0

# --- stuck: upstream arm64 disabled-with-reason; revisit periodically ---
blast	stuck	30	arm64 REGRESSION (2.16.0 had it, 2.17.0 lost it). NOT FILED upstream on purpose: bioconda PR #62276 "re-add ARM builds" merged 2026-08-22 re-enabled osx-arm64 but left linux-aarch64 commented — "CircleCI arm.large runner times out as the build takes too long". Maintainers @christiam @ebete already know; a CI wall-clock limit, not portability. We publish 2.16.0
metamdbg	stuck	30	arm64 REGRESSION: linux-aarch64 + osx-arm64 both existed at 1.0-1.2 then vanished at 1.3 (PR #62241) when the recipe lost its extra.additional-platforms block; no reason recorded. Filed upstream: bioconda/bioconda-recipes#68790. We publish 1.2
myloasm	stuck	30	arm64 REGRESSION: published at 0.5.1, then commented to "#- linux-aarch64" at 0.6.0 (PR #66876, a manual broken-autobump fix) with no reason; osx-arm64 still enabled. Filed upstream: bioconda/bioconda-recipes#68789; maintainer @bluenote-1577. We publish 0.5.1
galah	stuck	30	arm64 REGRESSION (corrected — linux-aarch64 was NOT "never mentioned"): added in PR #59083, published at 0.4.2, then deleted in the 0.5.0 bump (PR #66700) while osx-arm64 was kept. Filed upstream: bioconda/bioconda-recipes#68788; no recipe-maintainers listed. We publish 0.4.2
